# wavelength_angstroms eazyspectemp00 eazyspectemp01 eazyspectemp02 eazyspectemp03 eazyspectemp04 eazyspectemp05 eazyspectemp06 eazyspectemp07 eazyspectemp08 eazyspectemp09 eazyspectemp10 eazyspectemp11 eazyspectemp12
234.0 4.253607e-07 3.491353e-08 1.953078e-06 3.755717e-06 1.723192e-08 1.522236e-06 4.719756e-06 9.798176e-09 1.05883e-06 1.943882e-06 4.802797e-09 3.107335e-09 1.417198e-10
240.0 4.22244e-07 3.799239e-08 2.096745e-06 5.056616e-06 3.157908e-08 2.316919e-06 9.412195e-06 1.565829e-08 1.901694e-06 2.951503e-06 8.031118e-09 5.3351e-09 2.39854e-10
246.0 4.136059e-07 3.564865e-08 2.055869e-06 4.644042e-06 3.877158e-08 2.208521e-06 9.938834e-06 1.55804e-08 2.148701e-06 2.826596e-06 8.181583e-09 5.512269e-09 2.485426e-10
252.0 4.151548e-07 4.136412e-08 2.266346e-06 5.511136e-06 5.586558e-08 2.853981e-06 1.412473e-05 2.054912e-08 3.005818e-06 3.919561e-06 1.107677e-08 7.616953e-09 3.422301e-10
257.0 3.861774e-07 3.806869e-08 1.957813e-06 4.475614e-06 3.99797e-08 2.061282e-06 9.100985e-06 1.478028e-08 2.280481e-06 3.134324e-06 7.845722e-09 5.414288e-09 2.443509e-10
260.0 3.90384e-07 3.923131e-08 2.146704e-06 5.098605e-06 4.00239e-08 2.493799e-06 1.121913e-05 1.729232e-08 2.188759e-06 3.26852e-06 9.097911e-09 6.138061e-09 2.761422e-10
264.0 3.974642e-07 4.561382e-08 2.309103e-06 5.633136e-06 6.769435e-08 3.095379e-06 1.625719e-05 2.2639e-08 3.437664e-06 4.493996e-06 1.245609e-08 8.692515e-09 3.910434e-10
269.0 3.708038e-07 4.002756e-08 2.101777e-06 5.170689e-06 5.745608e-08 2.788655e-06 1.425717e-05 2.011547e-08 2.902451e-06 3.912079e-06 1.097342e-08 7.598789e-09 3.418941e-10
274.0 3.612079e-07 3.949019e-08 2.094343e-06 5.155784e-06 6.297979e-08 2.824438e-06 1.501483e-05 2.080177e-08 3.18486e-06 4.036807e-06 1.144657e-08 7.977827e-09 3.589105e-10
279.0 3.373011e-07 3.379402e-08 1.892851e-06 4.631647e-06 4.328289e-08 2.394462e-06 1.179798e-05 1.701958e-08 2.227994e-06 3.165326e-06 9.121326e-09 6.217582e-09 2.796139e-10
284.0 3.334421e-07 3.668631e-08 1.915276e-06 4.708847e-06 5.489541e-08 2.588758e-06 1.366409e-05 1.890559e-08 2.773798e-06 3.698217e-06 1.037098e-08 7.211507e-09 3.241914e-10
290.0 3.290707e-07 3.6634e-08 1.894689e-06 4.63708e-06 5.67267e-08 2.545791e-06 1.358171e-05 1.877801e-08 2.844864e-06 3.745571e-06 1.035111e-08 7.23502e-09 3.254507e-10
296.0 3.092793e-07 3.215798e-08 1.668271e-06 4.02812e-06 5.225905e-08 2.242816e-06 1.220466e-05 1.663389e-08 2.576292e-06 3.162656e-06 9.199233e-09 6.42141e-09 2.89315e-10
301.0 3.207389e-07 3.644207e-08 1.65365e-06 4.039777e-06 5.124208e-08 2.130045e-06 1.13675e-05 1.604641e-08 2.643303e-06 3.39003e-06 8.880944e-09 6.272622e-09 2.82525e-10
308.0 2.725897e-07 2.741703e-08 1.470157e-06 3.451688e-06 3.751406e-08 1.738476e-06 8.827413e-06 1.280332e-08 1.887836e-06 2.536784e-06 6.955021e-09 4.820974e-09 2.176471e-10
318.0 2.697643e-07 3.165069e-08 1.594706e-06 3.935267e-06 5.851528e-08 2.309648e-06 1.314258e-05 1.746298e-08 2.902444e-06 3.572362e-06 9.826892e-09 6.97544e-09 3.13713e-10
328.0 2.588296e-07 3.234525e-08 1.543813e-06 3.794648e-06 6.607995e-08 2.31666e-06 1.399933e-05 1.809086e-08 3.241559e-06 3.867117e-06 1.035483e-08 7.459355e-09 3.356317e-10
338.0 2.391966e-07 2.758615e-08 1.305916e-06 3.167367e-06 5.259678e-08 1.930358e-06 1.143383e-05 1.48401e-08 2.544608e-06 3.127257e-06 8.443088e-09 6.047578e-09 2.720881e-10
348.0 2.564811e-07 2.882247e-08 1.258714e-06 3.080169e-06 4.10987e-08 1.743408e-06 9.59431e-06 1.304166e-08 2.055729e-06 2.775033e-06 7.268368e-09 5.144605e-09 2.31186e-10
357.0 2.123708e-07 2.482709e-08 1.208488e-06 2.849741e-06 5.938592e-08 1.92852e-06 1.253048e-05 1.525981e-08 2.674992e-06 3.185138e-06 8.875546e-09 6.423412e-09 2.895673e-10
